store_name,store_addr
충주교현 DT,충북 충주시 교현동 624-1
상계DT,서울 노원구 상계동 1022
홈플러스 상동점,경기 부천시 상동 540-1
춘천후평DT,강원 춘천시 후평동 702-5
시청 DT,부산 연제구 연산동 1364-2
대구동호DT,대구 동구 신서동 718
동두천지행DT,경기 동두천시 지행동 340-1
제주시청DT,제주특별자치도 제주시 이도이동 1057-2
합정메세나폴리스,서울 마포구 서교동 490
연신내,서울 은평구 갈현동 456-28
거제,경남 거제시 장평동 1211
"A
                                경성대",부산 남구 대연동 72-23
행신,경기 고양시 덕양구 행신동 714-1
수원 성균관대,경기 수원시 장안구 율전동 291-6
진주칠암 DT,경남 진주시 주약동 94-1
포항남부DT점,경북 포항시 남구 대잠동 915
창원시티7,경남 창원시 의창구 대원동 121
수원GS DT,경기 수원시 권선구 권선동 1029
용봉DT,광주 북구 용봉동 1130-8
"B
                                광주월산DT",광주 남구 월산동 951-3
대학로,서울 종로구 동숭동 1-34
"A
                                강남 2호점",서울 강남구 역삼동 822-2
"C
                                대전한남대DT점",대전 대덕구 중리동 230-15
포천DT,경기 포천시 설운동 13-7
수원 아주대점,경기 수원시 영통구 원천동 18-1
보라매,서울 영등포구 신길동 505
대구두류DT점,대구 달서구 두류동 495-47
인천구산 DT,인천 부평구 구산동 1-4
망원점,서울 마포구 망원동 377-19
만수DT점,인천 남동구 만수동 904-4
이태원,서울 용산구 이태원동 56-21
대전 유성 DT점,대전 유성구 봉명동 446-5
원주단계DT,강원 원주시 단계동 879-1
여수 학동 DT점,전남 여수시 학동 82-3
의정부만가대 DT점,경기 의정부시 용현동 60-1
고양삼송DT,경기 고양시 덕양구 동산동 74-1
동탄SK점,경기 화성시 능동 1051-1
제주공항DT점,제주특별자치도 제주시 용담이동 1787
대전가장DT,대전 서구 가장동 54-1
서울시흥DT,서울 금천구 시흥동 903-4
구미옥계DT점,경북 구미시 옥계동 362-1
부평중앙,인천 부평구 부평동 212-65
밀양 DT,경남 밀양시 삼문동 397
대구본리DT점,대구 달서구 감삼동 346
탄현점,경기 고양시 일산서구 탄현동 1573-1
제주서귀포DT,제주특별자치도 서귀포시 서귀동 284-29
천안 쌍용역 DT점,충남 천안시 서북구 쌍용동 394-10
강릉,강원 강릉시 임당동 86
"E
                                인천삼산DT점",인천 부평구 삼산동 226-7
군포당동SK DT,경기 군포시 당동 871-2
부산정관DT점,부산 기장군 정관읍 매학리 720-3
동탄2 DT,경기 화성시 영천동 871-4
오산세교DT점,경기 오산시 내삼미동 466-1
의정부금오DT점,경기 의정부시 금오동 99-6
청주분평DT,충북 청주시 서원구 분평동 241-4
탑동,제주특별자치도 제주시 건입동 1442
종암SK DT,서울 성북구 종암동 10-15
의정부GS DT점,경기 의정부시 호원동 435
See&See,인천 남동구 구월동 1130
전주덕진 DT,전북 전주시 덕진구 덕진동1가 1401-18
"E
                                중앙대",서울 동작구 흑석동 221
울산삼산DT,울산 남구 삼산동 1550-7
"B
                                대구태전 DT",대구 북구 태전동 409-12
목포하당DT점,전남 목포시 상동 1126-2
동해DT,강원 동해시 천곡동 1066
김포고촌SK DT점,경기 김포시 고촌읍 신곡리 532-25
부천심곡DT,경기 부천시 심곡본동 559
성균관대,서울 종로구 명륜2가 197-1
부산교대 DT점,부산 연제구 거제동 1-1
울산옥현,울산 남구 무거동 487-1
가산비지니스센터점,서울 금천구 가산동 371-6
외대,서울 동대문구 이문동 305-2
경기광주DT,경기 광주시 쌍령동 155-18
동수원GS DT,경기 수원시 영통구 이의동 422-5
부산영도DT,부산 영도구 봉래동3가 82-2
여주DT,경기 여주시 교동 101
방배,서울 서초구 방배동 909-9
구미도량 DT,경북 구미시 도량동 524-3
"C
                                김천평화DT점",경북 김천시 평화동 2-2
인천옥련 DT점,인천 연수구 옥련동 265-29
강남삼성DT,서울 강남구 삼성동 113-7
군산조촌DT,전북특별자치도 군산시 조촌동 471-1
서초뱅뱅,서울 서초구 서초동 1338-20
안양비산DT,경기 안양시 동안구 비산동 576-13
부곡,부산 금정구 부곡동 63-11
평택GS DT,경기 평택시 용이동 470-5
중계역,서울 노원구 상계동 763-2
공덕점,서울 마포구 도화동 559
경희대국제캠퍼스,경기 수원시 영통구 영통동 1024-9
부산초량 DT,부산 동구 초량동 1198-7
"D
                                연세대점",서울 서대문구 창천동 33-12
부산황령DT점,부산 남구 대연동 201
청주금천 DT,충북 청주시 상당구 금천동 44-1
어린이대공원점,서울 광진구 화양동 212
부산송정DT,부산 해운대구 송정동 135-2
"D
                                군포산본DT점",경기 군포시 산본동 51-1
"B
                                신천",서울 송파구 잠실동 181-9
"B
                                목포남악DT점",전남 무안군 삼향읍 남악리 2148
양주덕계DT,경기 양주시 덕계동 495-8
"C
                                구리수택점",경기 구리시 수택동 526-4
대전터미널점,대전 동구 용전동 63-3
수내역,경기 성남시 분당구 수내동 18-1
시화점,경기 시흥시 정왕동 1734-2
삼성역,서울 강남구 삼성동 158-15
가락DT점,서울 송파구 가락동 193-7
이천 DT,경기 이천시 중리동 461-3
좌동 1,부산 해운대구 좌동 1407-5
사직점,부산 동래구 사직동 92-7
"A
                                수원인계DT",경기 수원시 팔달구 인계동 363-3
부산 남천DT점,부산 수영구 남천동 30-4
천안두정DT,충남 천안시 서북구 두정동 620
"E
                                구월 아시아드 DT점",인천 남동구 구월동 1185
부산다대DT점,부산 사하구 다대동 1160-12
용인마북 DT,경기 용인시 기흥구 마북동 552-4
서초GS점,서울 서초구 서초동 1536-1
안성공도DT,경기 안성시 공도읍 마정리 149-17
양산DT점,경남 양산시 동면 석산리 1421-9
화명 DT,부산 북구 화명동 193-1
성남신흥DT점,경기 성남시 수정구 신흥동 181
염창 DT점,서울 강서구 염창동 280-11
평택 세교DT점,경기 평택시 세교동 277-10
서울교대점,서울 서초구 서초동 1674-5
대구진천DT점,대구 달서구 진천동 608-6
부평역,인천 부평구 부평동 738-21
양주옥정DT,경기 양주시 고읍동 119
중산DT점,경기 고양시 일산동구 중산동 1667-5
양평SK DT,서울 영등포구 양평동3가 80-2
전남대 DT,광주 북구 용봉동 127-1
신월DT,서울 양천구 신월동 199-3
양주휴게소DT,경기 양주시 장흥면 삼하리 250-16
중랑,서울 중랑구 상봉동 130-166
광주쌍촌 DT,광주 서구 쌍촌동 964-9
수유,서울 강북구 번동 418-17
부산동명대DT점,부산 남구 용당동 524
"A
                                고양원당DT점",경기 고양시 덕양구 주교동 610-4
용인시청DT,경기 용인시 처인구 삼가동 250-34
웅상DT,경남 양산시 삼호동 1016-9
문학DT점,인천 미추홀구 문학동 381-5
범일 SK DT,부산 동구 범일동 828-8
대구시지DT점,대구 수성구 매호동 1087-1
제주노형 DT,제주특별자치도 제주시 노형동 903-5
달동,울산 남구 달동 707-1
서울 상암 DMC,서울 마포구 상암동 1602
동판교,경기 성남시 분당구 삼평동 741
명동,서울 중구 명동1가 48-2
구의역,서울 광진구 자양동 216-11
고양풍동DT,경기 고양시 일산동구 풍동 148-3
안동DT,경북 안동시 옥동 985-10
광명역점,경기 광명시 광명동 158-792
고양DT,경기 고양시 덕양구 벽제동 262-1
동인천점,인천 중구 인현동 27-3
판교테크노밸리,경기 성남시 분당구 삼평동 680
주례,부산 사상구 주례동 60-10
