brand,place_name,address_name,lng,lat
맥도날드,맥도날드 행신점,경기 고양시 덕양구 행신동 714-1,126.83384631720284,37.61528795725437
맥도날드,맥도날드 명지대점,서울 서대문구 남가좌동 324-3,126.924742252567,37.5799332429118
맥도날드,맥도날드 연세대점,서울 서대문구 창천동 33-12,126.9367843937591,37.55856058625979
맥도날드,맥도날드 광명역점,경기 광명시 광명동 158-792,126.853983391728,37.479012492637
맥도날드,맥도날드 우장산DT점 주차장,서울 강서구 화곡동 1026,126.837403712629,37.5451109700039
맥도날드,맥도날드 등촌DT점 주차장,서울 강서구 등촌동 630,126.859670881388,37.5583841949073
맥도날드,한국맥도널드 송정역점 개방화장실,서울 강서구 공항동 45-38,126.809698881421,37.5617587326863
맥도날드,맥도날드 신월DT점 주차장,서울 양천구 신월동 199-3,126.830941630878,37.5314247264802
맥도날드,맥도날드 신월남부DT점 주차장,서울 양천구 신월동 525-1,126.838612674756,37.5197044217737
맥도날드,맥도날드 고척DT점 주차장,서울 구로구 고척동 73-20,126.863635769416,37.4973297913953
맥도날드,맥도날드 부천원종DT점 주차장,경기 부천시 오정구 원종동 376-20,126.804167018018,37.5178683485188
맥도날드,맥도날드 명지대점 개방화장실,서울 서대문구 남가좌동 324-3,126.924760366217,37.5799332544584
맥도날드,맥도날드 연대점 개방화장실,서울 서대문구 창천동 33-12,126.93670741442966,37.558582168947645
맥도날드,맥도날드 신림점,서울 관악구 신림동 1641-22,126.93015567293818,37.48197881673212
맥도날드,맥도날드 숭실대점(휴업중),서울 동작구 상도동 505-5,126.956906603023,37.4951364047689
맥도날드,맥도날드 이수점,서울 동작구 사당동 147-29,126.98064641265356,37.48464233587453
맥도날드,맥도날드 중앙대점,서울 동작구 흑석동 221,126.958963206106,37.5061330138949
맥도날드,맥도날드 보라매점,서울 영등포구 신길동 505,126.92009852892339,37.50025117773754
맥도날드,맥도날드 노량진점,서울 동작구 노량진동 100-1,126.943558104375,37.5135184986792
맥도날드,맥도날드 구로디지털점,서울 구로구 구로동 197-21,126.894978549527,37.4852189404974
맥도날드,맥도날드 서울시흥DT점,서울 금천구 시흥동 903-4,126.902734772323,37.4504681915593
맥도날드,맥도날드 마리오아울렛점,서울 금천구 가산동 60-22,126.88688658553701,37.47829532960229
맥도날드,맥도날드 가산디지털점,서울 금천구 가산동 50-3,126.883569199241,37.4814023893401
맥도날드,맥도날드 가산비지니스센터점,서울 금천구 가산동 371-6,126.8813098877346,37.48018918586002
맥도날드,맥도날드 공덕점,서울 마포구 도화동 559,126.9470846462646,37.541068262776854
